Description of Token Use,Description,Total Supply,TGE,Month 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Seed,Earliest VC's,"5,000,000","1,000,000",0,0,"333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33","333,333.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategic,KOL round,"8,000,000","2,400,000",0,"700,000","700,000","700,000","700,000","700,000","700,000","700,000","700,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public,Community round,"12,500,000","6,250,000",0,"1,041,666.67","1,041,666.67","1,041,666.67","1,041,666.67","1,041,666.67","1,041,666.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisors,Incentive for Amped advisors,"3,000,000",0,0,0,0,0,0,0,0,0,0,0,0,"166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team,Incentive for Amped staff,"7,500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67","416,666.67",0,0,0,0,0,0,0,0,0,0,0,0
Airdrop,For our active LP's,"3,000,000",0,"3,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity,Exchanges and market making,"18,000,000","7,200,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserve,Company treasury,"6,500,000",0,0,0,0,0,0,0,0,0,0,0,0,"180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56","180,555.56"
Marketing,Marketing support,"5,000,000","500,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development,Development support,"3,500,000",0,0,0,0,"145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33","145,833.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protocol Incentives,Revenue share staking model,"28,000,000","2,100,000","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44","719,444.44",0,0,0,0,0,0,0,0,0,0,0
Total Tokens,,"100,000,000","19,450,000","27,019,444","27,330,556","30,975,000","34,765,278","38,555,556","42,345,833","46,136,111","48,884,722","51,633,333","53,681,944","55,730,556","58,126,389","60,522,222","62,918,056","64,980,556","67,043,056","69,105,556","71,584,722","73,213,889","74,843,056","76,472,222","78,101,389","79,730,556","81,359,722","82,988,889","84,618,056","86,247,222","87,730,556","89,213,889","90,530,556","91,847,222","93,163,889","94,480,556","95,797,222","97,113,889","98,013,889","98,194,444","98,375,000","98,555,556","98,736,111","98,916,667","99,097,222","99,277,778","99,458,333","99,638,889","99,819,444","100,000,000"